,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -
3724,Florida Panthers,2002,24,36,9,0.293,176,237,-61.0
3725,Los Angeles Kings,2002,33,37,6,0.402,203,221,-18.0
3726,Minnesota Wild,2002,42,29,1,0.512,198,178,20.0
3727,Montreal Canadiens,2002,30,35,9,0.366,206,234,-28.0
3728,Nashville Predators,2002,27,35,7,0.329,183,206,-23.0
3729,New Jersey Devils,2002,46,20,6,0.561,216,166,50.0
3730,New York Islanders,2002,35,34,2,0.427,224,231,-7.0
3731,New York Rangers,2002,32,36,4,0.39,210,231,-21.0
3732,Ottawa Senators,2002,52,21,1,0.634,263,182,81.0
3733,Philadelphia Flyers,2002,45,20,4,0.549,211,166,45.0
3734,Phoenix Coyotes,2002,31,35,5,0.378,204,230,-26.0
3735,Pittsburgh Penguins,2002,27,44,5,0.329,189,255,-66.0
3736,San Jose Sharks,2002,28,37,8,0.341,214,239,-25.0
3737,St. Louis Blues,2002,41,24,6,0.5,253,222,31.0
3738,Tampa Bay Lightning,2002,36,25,5,0.439,219,210,9.0
3739,Toronto Maple Leafs,2002,44,28,3,0.537,236,208,28.0
3740,Vancouver Canucks,2002,45,23,1,0.549,264,208,56.0
3741,Washington Capitals,2002,39,29,6,0.476,224,220,4.0
3742,Mighty Ducks of Anaheim,2003,29,35,8,0.354,184,213,-29.0
3743,Atlanta Thrashers,2003,33,37,4,0.402,214,243,-29.0
3744,Boston Bruins,2003,41,19,7,0.5,209,188,21.0
3745,Buffalo Sabres,2003,37,34,4,0.451,220,221,-1.0
3746,Calgary Flames,2003,42,30,3,0.512,200,176,24.0
3747,Carolina Hurricanes,2003,28,34,6,0.341,172,209,-37.0
3748,Columbus Blue Jackets,2003,25,45,4,0.305,177,238,-61.0
3749,Chicago Blackhawks,2003,20,43,8,0.244,188,259,-71.0
3750,Colorado Avalanche,2003,40,22,7,0.488,236,198,38.0
3751,Dallas Stars,2003,41,26,2,0.5,194,175,19.0
3752,Detroit Red Wings,2003,48,21,2,0.585,255,189,66.0
3753,Edmonton Oilers,2003,36,29,5,0.439,221,208,13.0
3754,Florida Panthers,2003,28,35,4,0.341,188,221,-33.0
3755,Los Angeles Kings,2003,28,29,9,0.341,205,217,-12.0
3756,Minnesota Wild,2003,30,29,3,0.366,188,183,5.0
3757,Montreal Canadiens,2003,41,30,4,0.5,208,192,16.0
3758,Nashville Predators,2003,38,29,4,0.463,216,217,-1.0
3759,New Jersey Devils,2003,43,25,2,0.524,213,164,49.0
3760,New York Islanders,2003,38,29,4,0.463,237,210,27.0
3761,New York Rangers,2003,27,40,8,0.329,206,250,-44.0
3762,Ottawa Senators,2003,43,23,6,0.524,262,189,73.0
3763,Philadelphia Flyers,2003,40,21,6,0.488,229,186,43.0
3764,Phoenix Coyotes,2003,22,36,6,0.268,188,245,-57.0
3765,Pittsburgh Penguins,2003,23,47,4,0.28,190,303,-113.0
3766,San Jose Sharks,2003,43,21,6,0.524,219,183,36.0
3767,St. Louis Blues,2003,39,30,2,0.476,191,198,-7.0
3768,Tampa Bay Lightning,2003,46,22,6,0.561,245,192,53.0
3769,Toronto Maple Leafs,2003,45,24,3,0.549,242,204,38.0
3770,Vancouver Canucks,2003,43,24,5,0.524,235,194,41.0
3771,Washington Capitals,2003,23,46,3,0.28,186,253,-67.0
3772,Mighty Ducks of Anaheim,2005,43,27,12,0.524,254,229,25.0
3773,Atlanta Thrashers,2005,41,33,8,0.5,281,275,6.0
3774,Boston Bruins,2005,29,37,16,0.354,230,266,-36.0
3775,Buffalo Sabres,2005,52,24,6,0.634,281,239,42.0
3776,Calgary Flames,2005,46,25,11,0.561,218,200,18.0
3777,Carolina Hurricanes,2005,52,22,8,0.634,294,260,34.0
3778,Columbus Blue Jackets,2005,35,43,4,0.427,223,279,-56.0
3779,Chicago Blackhawks,2005,26,43,13,0.317,211,285,-74.0
3780,Colorado Avalanche,2005,43,30,9,0.524,283,257,26.0
3781,Dallas Stars,2005,53,23,6,0.646,265,218,47.0
3782,Detroit Red Wings,2005,58,16,8,0.707,305,209,96.0
3783,Edmonton Oilers,2005,41,28,13,0.5,256,251,5.0
3784,Florida Panthers,2005,37,34,11,0.451,240,257,-17.0
3785,Los Angeles Kings,2005,42,35,5,0.512,249,270,-21.0
3786,Minnesota Wild,2005,38,36,8,0.463,231,215,16.0
3787,Montreal Canadiens,2005,42,31,9,0.512,243,247,-4.0
3788,Nashville Predators,2005,49,25,8,0.598,259,227,32.0
3789,New Jersey Devils,2005,46,27,9,0.561,242,229,13.0
3790,New York Islanders,2005,36,40,6,0.439,230,278,-48.0
3791,New York Rangers,2005,44,26,12,0.537,257,215,42.0
3792,Ottawa Senators,2005,52,21,9,0.634,314,211,103.0
3793,Philadelphia Flyers,2005,45,26,11,0.549,267,259,8.0
3794,Phoenix Coyotes,2005,38,39,5,0.463,246,271,-25.0
3795,Pittsburgh Penguins,2005,22,46,14,0.268,244,316,-72.0
3796,San Jose Sharks,2005,44,27,11,0.537,266,242,24.0
3797,St. Louis Blues,2005,21,46,15,0.256,197,292,-95.0
3798,Tampa Bay Lightning,2005,43,33,6,0.524,252,260,-8.0
3799,Toronto Maple Leafs,2005,41,33,8,0.5,257,270,-13.0
3800,Vancouver Canucks,2005,42,32,8,0.512,256,255,1.0
3801,Washington Capitals,2005,29,41,12,0.354,237,306,-69.0
3802,Anaheim Ducks,2006,48,20,14,0.585,258,208,50.0
3803,Atlanta Thrashers,2006,43,28,11,0.524,246,245,1.0
3804,Boston Bruins,2006,35,41,6,0.427,219,289,-70.0
3805,Buffalo Sabres,2006,53,22,7,0.646,308,242,66.0
3806,Calgary Flames,2006,43,29,10,0.524,258,226,32.0
3807,Carolina Hurricanes,2006,40,34,8,0.488,241,253,-12.0
3808,Columbus Blue Jackets,2006,33,42,7,0.402,201,249,-48.0
3809,Chicago Blackhawks,2006,31,42,9,0.378,201,258,-57.0
3810,Colorado Avalanche,2006,44,31,7,0.537,272,251,21.0
3811,Dallas Stars,2006,50,25,7,0.61,226,197,29.0
3812,Detroit Red Wings,2006,50,19,13,0.61,254,199,55.0
3813,Edmonton Oilers,2006,32,43,7,0.39,195,248,-53.0
3814,Florida Panthers,2006,35,31,16,0.427,247,257,-10.0
3815,Los Angeles Kings,2006,27,41,14,0.329,227,283,-56.0
3816,Minnesota Wild,2006,48,26,8,0.585,235,191,44.0
3817,Montreal Canadiens,2006,42,34,6,0.512,245,256,-11.0
3818,Nashville Predators,2006,51,23,8,0.622,272,212,60.0
3819,New Jersey Devils,2006,49,24,9,0.598,216,201,15.0
3820,New York Islanders,2006,40,30,12,0.488,248,240,8.0
3821,New York Rangers,2006,42,30,10,0.512,242,216,26.0
3822,Ottawa Senators,2006,48,25,9,0.585,288,222,66.0
3823,Philadelphia Flyers,2006,22,48,12,0.268,214,303,-89.0
3824,Phoenix Coyotes,2006,31,46,5,0.378,216,284,-68.0
3825,Boston Bruins,1990,44,24,,0.55,299,264,35.0
3826,Buffalo Sabres,1990,31,30,,0.388,292,278,14.0
3827,Calgary Flames,1990,46,26,,0.575,344,263,81.0
3828,Chicago Blackhawks,1990,49,23,,0.613,284,211,73.0
3829,Detroit Red Wings,1990,34,38,,0.425,273,298,-25.0
3830,Edmonton Oilers,1990,37,37,,0.463,272,272,0.0
3831,Hartford Whalers,1990,31,38,,0.388,238,276,-38.0
3832,Los Angeles Kings,1990,46,24,,0.575,340,254,86.0
3833,Minnesota North Stars,1990,27,39,,0.338,256,266,-10.0
3834,Montreal Canadiens,1990,39,30,,0.487,273,249,24.0
3835,New Jersey Devils,1990,32,33,,0.4,272,264,8.0
3836,New York Islanders,1990,25,45,,0.312,223,290,-67.0
3837,New York Rangers,1990,36,31,,0.45,297,265,32.0
3838,Philadelphia Flyers,1990,33,37,,0.412,252,267,-15.0
3839,Pittsburgh Penguins,1990,41,33,,0.512,342,305,37.0
3840,Quebec Nordiques,1990,16,50,,0.2,236,354,-118.0
3841,St. Louis Blues,1990,47,22,,0.588,310,250,60.0
3842,Toronto Maple Leafs,1990,23,46,,0.287,241,318,-77.0
3843,Vancouver Canucks,1990,28,43,,0.35,243,315,-72.0
3844,Washington Capitals,1990,37,36,,0.463,258,258,0.0
3845,Winnipeg Jets,1990,26,43,,0.325,260,288,-28.0
3846,Boston Bruins,1991,36,32,,0.45,270,275,-5.0
3847,Buffalo Sabres,1991,31,37,,0.388,289,299,-10.0
3848,Calgary Flames,1991,31,37,,0.388,296,305,-9.0
3849,Chicago Blackhawks,1991,36,29,,0.45,257,236,21.0
3850,Detroit Red Wings,1991,43,25,,0.537,320,256,64.0
3851,Edmonton Oilers,1991,36,34,,0.45,295,297,-2.0
3852,Hartford Whalers,1991,26,41,,0.325,247,283,-36.0
3853,Los Angeles Kings,1991,35,31,,0.438,287,296,-9.0
3854,Minnesota North Stars,1991,32,42,,0.4,246,278,-32.0
3855,Montreal Canadiens,1991,41,28,,0.512,267,207,60.0
3856,New Jersey Devils,1991,38,31,,0.475,289,259,30.0
3857,New York Islanders,1991,34,35,,0.425,291,299,-8.0
3858,New York Rangers,1991,50,25,,0.625,321,246,75.0
3859,Philadelphia Flyers,1991,32,37,,0.4,252,273,-21.0
3860,Pittsburgh Penguins,1991,39,32,,0.487,343,308,35.0
3861,Quebec Nordiques,1991,20,48,,0.25,255,318,-63.0
3862,San Jose Sharks,1991,17,58,,0.212,219,359,-140.0
3863,St. Louis Blues,1991,36,33,,0.45,279,266,13.0
3864,Toronto Maple Leafs,1991,30,43,,0.375,234,294,-60.0
3865,Vancouver Canucks,1991,42,26,,0.525,285,250,35.0
3866,Washington Capitals,1991,45,27,,0.562,330,275,55.0
3867,Winnipeg Jets,1991,33,32,,0.412,251,244,7.0
3868,Boston Bruins,1992,51,26,,0.607,332,268,64.0
3869,Buffalo Sabres,1992,38,36,,0.452,335,297,38.0
3870,Calgary Flames,1992,43,30,,0.512,322,282,40.0
3871,Chicago Blackhawks,1992,47,25,,0.56,279,230,49.0
3872,Detroit Red Wings,1992,47,28,,0.56,369,280,89.0
3873,Edmonton Oilers,1992,26,50,,0.31,242,337,-95.0
3874,Hartford Whalers,1992,26,52,,0.31,284,369,-85.0
3875,Los Angeles Kings,1992,39,35,,0.464,338,340,-2.0
3876,Minnesota North Stars,1992,36,38,,0.429,272,293,-21.0
3877,Montreal Canadiens,1992,48,30,,0.571,326,280,46.0
3878,New Jersey Devils,1992,40,37,,0.476,308,299,9.0
3879,New York Islanders,1992,40,37,,0.476,335,297,38.0
3880,New York Rangers,1992,34,39,,0.405,304,308,-4.0
3881,Ottawa Senators,1992,10,70,,0.119,202,395,-193.0
3882,Philadelphia Flyers,1992,36,37,,0.429,319,319,0.0
3883,Pittsburgh Penguins,1992,56,21,,0.667,367,268,99.0
3884,Quebec Nordiques,1992,47,27,,0.56,351,300,51.0
3885,San Jose Sharks,1992,11,71,,0.131,218,414,-196.0
3886,St. Louis Blues,1992,37,36,,0.44,282,278,4.0
3887,Tampa Bay Lightning,1992,23,54,,0.274,245,332,-87.0
3888,Toronto Maple Leafs,1992,44,29,,0.524,288,241,47.0
3889,Vancouver Canucks,1992,46,29,,0.548,346,278,68.0
3890,Washington Capitals,1992,43,34,,0.512,325,286,39.0
3891,Winnipeg Jets,1992,40,37,,0.476,322,320,2.0
3892,Mighty Ducks of Anaheim,1993,33,46,,0.393,229,251,-22.0
3893,Boston Bruins,1993,42,29,,0.5,289,252,37.0
3894,Buffalo Sabres,1993,43,32,,0.512,282,218,64.0
3895,Calgary Flames,1993,42,29,,0.5,302,256,46.0
3896,Chicago Blackhawks,1993,39,36,,0.464,254,240,14.0
3897,Dallas Stars,1993,42,29,,0.5,286,265,21.0
3898,Detroit Red Wings,1993,46,30,,0.548,356,275,81.0
3899,Edmonton Oilers,1993,25,45,,0.298,261,305,-44.0
3900,Florida Panthers,1993,33,34,,0.393,233,233,0.0
3901,Hartford Whalers,1993,27,48,,0.321,227,288,-61.0
3902,Los Angeles Kings,1993,27,45,,0.321,294,322,-28.0
3903,Montreal Canadiens,1993,41,29,,0.488,283,248,35.0
3904,New Jersey Devils,1993,47,25,,0.56,306,220,86.0
3905,New York Islanders,1993,36,36,,0.429,282,264,18.0
3906,New York Rangers,1993,52,24,,0.619,299,231,68.0
3907,Ottawa Senators,1993,14,61,,0.167,201,397,-196.0
3908,Philadelphia Flyers,1993,35,39,,0.417,294,314,-20.0
3909,Pittsburgh Penguins,1993,44,27,,0.524,299,285,14.0
3910,Quebec Nordiques,1993,34,42,,0.405,277,292,-15.0
3911,San Jose Sharks,1993,33,35,,0.393,252,265,-13.0
3912,St. Louis Blues,1993,40,33,,0.476,270,283,-13.0
3913,Tampa Bay Lightning,1993,30,43,,0.357,224,251,-27.0
3914,Toronto Maple Leafs,1993,43,29,,0.512,280,243,37.0
3915,Vancouver Canucks,1993,41,40,,0.488,279,276,3.0
3916,Washington Capitals,1993,39,35,,0.464,277,263,14.0
3917,Winnipeg Jets,1993,24,51,,0.286,245,344,-99.0
3918,Mighty Ducks of Anaheim,1994,16,27,,0.333,125,164,-39.0
3919,Boston Bruins,1994,27,18,,0.562,150,127,23.0
3920,Buffalo Sabres,1994,22,19,,0.458,130,119,11.0
3921,Calgary Flames,1994,24,17,,0.5,163,135,28.0
3922,Chicago Blackhawks,1994,24,19,,0.5,156,115,41.0
3923,Dallas Stars,1994,17,23,,0.354,136,135,1.0
3924,Detroit Red Wings,1994,33,11,,0.688,180,117,63.0
3925,Edmonton Oilers,1994,17,27,,0.354,136,183,-47.0
3926,Florida Panthers,1994,20,22,,0.417,115,127,-12.0
3927,Hartford Whalers,1994,19,24,,0.396,127,141,-14.0
3928,Los Angeles Kings,1994,16,23,,0.333,142,174,-32.0
3929,Montreal Canadiens,1994,18,23,,0.375,125,148,-23.0
3930,New Jersey Devils,1994,22,18,,0.458,136,121,15.0
3931,New York Islanders,1994,15,28,,0.312,126,158,-32.0
3932,New York Rangers,1994,22,23,,0.458,139,134,5.0
3933,Ottawa Senators,1994,9,34,,0.188,117,174,-57.0
3934,Philadelphia Flyers,1994,28,16,,0.583,150,132,18.0
3935,Pittsburgh Penguins,1994,29,16,,0.604,181,158,23.0
3936,Quebec Nordiques,1994,30,13,,0.625,185,134,51.0
3937,San Jose Sharks,1994,19,25,,0.396,129,161,-32.0
3938,St. Louis Blues,1994,28,15,,0.583,178,135,43.0
3939,Tampa Bay Lightning,1994,17,28,,0.354,120,144,-24.0
3940,Toronto Maple Leafs,1994,21,19,,0.438,135,146,-11.0
3941,Vancouver Canucks,1994,18,18,,0.375,153,148,5.0
3942,Washington Capitals,1994,22,18,,0.458,136,120,16.0
3943,Winnipeg Jets,1994,16,25,,0.333,157,177,-20.0
3944,Mighty Ducks of Anaheim,1995,35,39,,0.427,234,247,-13.0
3945,Boston Bruins,1995,40,31,,0.488,282,269,13.0
3946,Buffalo Sabres,1995,33,42,,0.402,247,262,-15.0
3947,Calgary Flames,1995,34,37,,0.415,241,240,1.0
3948,Chicago Blackhawks,1995,40,28,,0.488,273,220,53.0
3949,Colorado Avalanche,1995,47,25,,0.573,326,240,86.0
3950,Dallas Stars,1995,26,42,,0.317,227,280,-53.0
3951,Detroit Red Wings,1995,62,13,,0.756,325,181,144.0
3952,Edmonton Oilers,1995,30,44,,0.366,240,304,-64.0
3953,Florida Panthers,1995,41,31,,0.5,254,234,20.0
3954,Hartford Whalers,1995,34,39,,0.415,237,259,-22.0
3955,Los Angeles Kings,1995,24,40,,0.293,256,302,-46.0
3956,Montreal Canadiens,1995,40,32,,0.488,265,248,17.0
3957,New Jersey Devils,1995,37,33,,0.451,215,202,13.0
3958,New York Islanders,1995,22,50,,0.268,229,315,-86.0
3959,New York Rangers,1995,41,27,,0.5,272,237,35.0
3960,Ottawa Senators,1995,18,59,,0.22,191,291,-100.0
3961,Philadelphia Flyers,1995,45,24,,0.549,282,208,74.0
3962,Pittsburgh Penguins,1995,49,29,,0.598,362,284,78.0
3963,San Jose Sharks,1995,20,55,,0.244,252,357,-105.0
3964,St. Louis Blues,1995,32,34,,0.39,219,248,-29.0
3965,Tampa Bay Lightning,1995,38,32,,0.463,238,248,-10.0
3966,Toronto Maple Leafs,1995,34,36,,0.415,247,252,-5.0
3967,Vancouver Canucks,1995,32,35,,0.39,278,278,0.0
3968,Washington Capitals,1995,39,32,,0.476,234,204,30.0
3969,Winnipeg Jets,1995,36,40,,0.439,275,291,-16.0
3970,Mighty Ducks of Anaheim,1996,36,33,,0.439,245,233,12.0
3971,Boston Bruins,1996,26,47,,0.317,234,300,-66.0
3972,Buffalo Sabres,1996,40,30,,0.488,237,208,29.0
3973,Calgary Flames,1996,32,41,,0.39,214,239,-25.0
3974,Chicago Blackhawks,1996,34,35,,0.415,223,210,13.0
3975,Colorado Avalanche,1996,49,24,,0.598,277,205,72.0
3976,Dallas Stars,1996,48,26,,0.585,252,198,54.0
3977,Detroit Red Wings,1996,38,26,,0.463,253,197,56.0
3978,Edmonton Oilers,1996,36,37,,0.439,252,247,5.0
3979,Florida Panthers,1996,35,28,,0.427,221,201,20.0
3980,Hartford Whalers,1996,32,39,,0.39,226,256,-30.0
3981,Los Angeles Kings,1996,28,43,,0.341,214,268,-54.0
3982,Montreal Canadiens,1996,31,36,,0.378,249,276,-27.0
3983,New Jersey Devils,1996,45,23,,0.549,231,182,49.0
3984,New York Islanders,1996,29,41,,0.354,240,250,-10.0
3985,New York Rangers,1996,38,34,,0.463,258,231,27.0
3986,Ottawa Senators,1996,31,36,,0.378,226,234,-8.0
3987,Philadelphia Flyers,1996,45,24,,0.549,274,217,57.0
3988,Phoenix Coyotes,1996,38,37,,0.463,240,243,-3.0
3989,Pittsburgh Penguins,1996,38,36,,0.463,285,280,5.0
3990,San Jose Sharks,1996,27,47,,0.329,211,278,-67.0
3991,St. Louis Blues,1996,36,35,,0.439,236,239,-3.0
3992,Tampa Bay Lightning,1996,32,40,,0.39,217,247,-30.0
3993,Toronto Maple Leafs,1996,30,44,,0.366,230,273,-43.0
3994,Vancouver Canucks,1996,35,40,,0.427,257,273,-16.0
3995,Washington Capitals,1996,33,40,,0.402,214,231,-17.0
3996,Mighty Ducks of Anaheim,1997,26,43,,0.317,205,261,-56.0
3997,Boston Bruins,1997,39,30,,0.476,221,194,27.0
3998,Buffalo Sabres,1997,36,29,,0.439,211,187,24.0
3999,Calgary Flames,1997,26,41,,0.317,217,252,-35.0
4000,Carolina Hurricanes,1997,33,41,,0.402,200,219,-19.0
4001,Chicago Blackhawks,1997,30,39,,0.366,192,199,-7.0
4002,Colorado Avalanche,1997,39,26,,0.476,231,205,26.0
4003,Dallas Stars,1997,49,22,,0.598,242,167,75.0
4004,Detroit Red Wings,1997,44,23,,0.537,250,196,54.0
4005,Edmonton Oilers,1997,35,37,,0.427,215,224,-9.0
4006,Florida Panthers,1997,24,43,,0.293,203,256,-53.0
4007,Los Angeles Kings,1997,38,33,,0.463,227,225,2.0
4008,Montreal Canadiens,1997,37,32,,0.451,235,208,27.0
4009,New Jersey Devils,1997,48,23,,0.585,225,166,59.0
4010,New York Islanders,1997,30,41,,0.366,212,225,-13.0
4011,New York Rangers,1997,25,39,,0.305,197,231,-34.0
4012,Ottawa Senators,1997,34,33,,0.415,193,200,-7.0
4013,Philadelphia Flyers,1997,42,29,,0.512,242,193,49.0
4014,Phoenix Coyotes,1997,35,35,,0.427,224,227,-3.0
4015,Pittsburgh Penguins,1997,40,24,,0.488,228,188,40.0
4016,San Jose Sharks,1997,34,38,,0.415,210,216,-6.0
4017,St. Louis Blues,1997,45,29,,0.549,256,204,52.0
4018,Tampa Bay Lightning,1997,17,55,,0.207,151,269,-118.0
4019,Toronto Maple Leafs,1997,30,43,,0.366,194,237,-43.0
4020,Vancouver Canucks,1997,25,43,,0.305,224,273,-49.0
4021,Washington Capitals,1997,40,30,,0.488,219,202,17.0
4022,Mighty Ducks of Anaheim,1998,35,34,,0.427,215,206,9.0
4023,Boston Bruins,1998,39,30,,0.476,214,181,33.0
4024,Buffalo Sabres,1998,37,28,,0.451,207,175,32.0
4025,Calgary Flames,1998,30,40,,0.366,211,234,-23.0
4026,Carolina Hurricanes,1998,34,30,,0.415,210,202,8.0
4027,Chicago Blackhawks,1998,29,41,,0.354,202,248,-46.0
4028,Colorado Avalanche,1998,44,28,,0.537,239,205,34.0
4029,Dallas Stars,1998,51,19,,0.622,236,168,68.0
4030,Detroit Red Wings,1998,43,32,,0.524,245,202,43.0
4031,Edmonton Oilers,1998,33,37,,0.402,230,226,4.0
4032,Florida Panthers,1998,30,34,,0.366,210,228,-18.0
4033,Los Angeles Kings,1998,32,45,,0.39,189,222,-33.0
4034,Montreal Canadiens,1998,32,39,,0.39,184,209,-25.0
4035,Nashville Predators,1998,28,47,,0.341,190,261,-71.0
4036,New Jersey Devils,1998,47,24,,0.573,248,196,52.0
4037,New York Islanders,1998,24,48,,0.293,194,244,-50.0
4038,New York Rangers,1998,33,38,,0.402,217,227,-10.0
4039,Ottawa Senators,1998,44,23,,0.537,239,179,60.0
4040,Philadelphia Flyers,1998,37,26,,0.451,231,196,35.0
4041,Phoenix Coyotes,1998,39,31,,0.476,205,197,8.0
4042,Pittsburgh Penguins,1998,38,30,,0.463,242,225,17.0
4043,San Jose Sharks,1998,31,33,,0.378,196,191,5.0
4044,St. Louis Blues,1998,37,32,,0.451,237,209,28.0
4045,Tampa Bay Lightning,1998,19,54,,0.232,179,292,-113.0
4046,Toronto Maple Leafs,1998,45,30,,0.549,268,231,37.0
4047,Vancouver Canucks,1998,23,47,,0.28,192,258,-66.0
4048,Washington Capitals,1998,31,45,,0.378,200,218,-18.0
4049,Mighty Ducks of Anaheim,1999,34,33,3,0.415,217,227,-10.0
4050,Atlanta Thrashers,1999,14,57,4,0.171,170,313,-143.0
4051,Boston Bruins,1999,24,33,6,0.293,210,248,-38.0
4052,Buffalo Sabres,1999,35,32,4,0.427,213,204,9.0
4053,Calgary Flames,1999,31,36,5,0.378,211,256,-45.0
4054,Carolina Hurricanes,1999,37,35,0,0.451,217,216,1.0
4055,Chicago Blackhawks,1999,33,37,2,0.402,242,245,-3.0
4056,Colorado Avalanche,1999,42,28,1,0.512,233,201,32.0
4057,Dallas Stars,1999,43,23,6,0.524,211,184,27.0
4058,Detroit Red Wings,1999,48,22,2,0.585,278,210,68.0
4059,Edmonton Oilers,1999,32,26,8,0.39,226,212,14.0
4060,Florida Panthers,1999,43,27,6,0.524,244,209,35.0
4061,Los Angeles Kings,1999,39,27,4,0.476,245,228,17.0
4062,Montreal Canadiens,1999,35,34,4,0.427,196,194,2.0
4063,Nashville Predators,1999,28,40,7,0.341,199,240,-41.0
4064,New Jersey Devils,1999,45,24,5,0.549,251,203,48.0
4065,New York Islanders,1999,24,48,1,0.293,194,275,-81.0
4066,New York Rangers,1999,29,38,3,0.354,218,246,-28.0
4067,Ottawa Senators,1999,41,28,2,0.5,244,210,34.0
4068,Philadelphia Flyers,1999,45,22,3,0.549,237,179,58.0
4069,Phoenix Coyotes,1999,39,31,4,0.476,232,228,4.0
4070,Pittsburgh Penguins,1999,37,31,6,0.451,241,236,5.0
4071,San Jose Sharks,1999,35,30,7,0.427,225,214,11.0
4072,St. Louis Blues,1999,51,19,1,0.622,248,165,83.0
4073,Tampa Bay Lightning,1999,19,47,7,0.232,204,310,-106.0
4074,Toronto Maple Leafs,1999,45,27,3,0.549,246,222,24.0
4075,Vancouver Canucks,1999,30,29,8,0.366,227,237,-10.0
4076,Washington Capitals,1999,44,24,2,0.537,227,194,33.0
4077,Mighty Ducks of Anaheim,2000,25,41,5,0.305,188,245,-57.0
4078,Atlanta Thrashers,2000,23,45,2,0.28,211,289,-78.0
4079,Boston Bruins,2000,36,30,8,0.439,227,249,-22.0
4080,Buffalo Sabres,2000,46,30,1,0.561,218,184,34.0
4081,Calgary Flames,2000,27,36,4,0.329,197,236,-39.0
4082,Carolina Hurricanes,2000,38,32,3,0.463,212,225,-13.0
4083,Columbus Blue Jackets,2000,28,39,6,0.341,190,233,-43.0
4084,Chicago Blackhawks,2000,29,40,5,0.354,210,246,-36.0
4085,Colorado Avalanche,2000,52,16,4,0.634,270,192,78.0
4086,Dallas Stars,2000,48,24,2,0.585,241,187,54.0
4087,Detroit Red Wings,2000,49,20,4,0.598,253,202,51.0
4088,Edmonton Oilers,2000,39,28,3,0.476,243,222,21.0
4089,Florida Panthers,2000,22,38,9,0.268,200,246,-46.0
4090,Los Angeles Kings,2000,38,28,3,0.463,252,228,24.0
4091,Minnesota Wild,2000,25,39,5,0.305,168,210,-42.0
4092,Montreal Canadiens,2000,28,40,6,0.341,206,232,-26.0
4093,Nashville Predators,2000,34,36,3,0.415,186,200,-14.0
4094,New Jersey Devils,2000,48,19,3,0.585,295,195,100.0
4095,New York Islanders,2000,21,51,3,0.256,185,268,-83.0
4096,New York Rangers,2000,33,43,1,0.402,250,290,-40.0
4097,Ottawa Senators,2000,48,21,4,0.585,274,205,69.0
4098,Philadelphia Flyers,2000,43,25,3,0.524,240,207,33.0
4099,Phoenix Coyotes,2000,35,27,3,0.427,214,212,2.0
4100,Pittsburgh Penguins,2000,42,28,3,0.512,281,256,25.0
4101,San Jose Sharks,2000,40,27,3,0.488,217,192,25.0
4102,St. Louis Blues,2000,43,22,5,0.524,249,195,54.0
4103,Tampa Bay Lightning,2000,24,47,5,0.293,201,280,-79.0
4104,Toronto Maple Leafs,2000,37,29,5,0.451,232,207,25.0
4105,Vancouver Canucks,2000,36,28,7,0.439,239,238,1.0
4106,Washington Capitals,2000,41,27,4,0.5,233,211,22.0
4107,Mighty Ducks of Anaheim,2001,29,42,3,0.354,175,198,-23.0
4108,Atlanta Thrashers,2001,19,47,5,0.232,187,288,-101.0
4109,Boston Bruins,2001,43,24,9,0.524,236,201,35.0
4110,Buffalo Sabres,2001,35,35,1,0.427,213,200,13.0
4111,Calgary Flames,2001,32,35,3,0.39,201,220,-19.0
4112,Carolina Hurricanes,2001,35,26,5,0.427,217,217,0.0
4113,Columbus Blue Jackets,2001,22,47,5,0.268,164,255,-91.0
4114,Chicago Blackhawks,2001,41,27,1,0.5,216,207,9.0
4115,Colorado Avalanche,2001,45,28,1,0.549,212,169,43.0
4116,Dallas Stars,2001,36,28,5,0.439,215,213,2.0
4117,Detroit Red Wings,2001,51,17,4,0.622,251,187,64.0
4118,Edmonton Oilers,2001,38,28,4,0.463,205,182,23.0
4119,Florida Panthers,2001,22,44,6,0.268,180,250,-70.0
4120,Los Angeles Kings,2001,40,27,4,0.488,214,190,24.0
4121,Minnesota Wild,2001,26,35,9,0.317,195,238,-43.0
4122,Montreal Canadiens,2001,36,31,3,0.439,207,209,-2.0
4123,Nashville Predators,2001,28,41,0,0.341,196,230,-34.0
4124,New Jersey Devils,2001,41,28,4,0.5,205,187,18.0
4125,New York Islanders,2001,42,28,4,0.512,239,220,19.0
4126,New York Rangers,2001,36,38,4,0.439,227,258,-31.0
4127,Ottawa Senators,2001,39,27,7,0.476,243,208,35.0
4128,Philadelphia Flyers,2001,42,27,3,0.512,234,192,42.0
4129,Phoenix Coyotes,2001,40,27,6,0.488,228,210,18.0
4130,Pittsburgh Penguins,2001,28,41,5,0.341,198,249,-51.0
4131,San Jose Sharks,2001,44,27,3,0.537,248,199,49.0
4132,St. Louis Blues,2001,43,27,4,0.524,227,188,39.0
4133,Tampa Bay Lightning,2001,27,40,4,0.329,178,219,-41.0
4134,Toronto Maple Leafs,2001,43,25,4,0.524,249,207,42.0
4135,Vancouver Canucks,2001,42,30,3,0.512,254,211,43.0
4136,Washington Capitals,2001,36,33,2,0.439,228,240,-12.0
4137,Mighty Ducks of Anaheim,2002,40,27,6,0.488,203,193,10.0
